,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
0,0.0,Tue Mar 27 18:30:07 +0000 2018,0.0,1.0,0.0,BBC,"When mother Marie mysteriously leaves the family home, the repercussions are enormous.

#ComeHome | 9pm | @BBCOne |… https://t.co/S4JgnzQlAx"
1,0.2942,Tue Mar 27 18:00:08 +0000 2018,0.0,0.872,0.128,BBC,"🇩🇪😂 Even if you don't speak German, this is worth watching until the end! 
#LiveAtTheApollo https://t.co/J3l8oToRbk"
2,0.0,Tue Mar 27 17:00:07 +0000 2018,0.0,1.0,0.0,BBC,"🍜 We've got oodles of noodles with recipes for pad Thai, chow mein, ramen, pho and stir-fries.
👉… https://t.co/JWfrcIhn2X"
3,0.0,Tue Mar 27 16:00:15 +0000 2018,0.0,1.0,0.0,BBC,😬 What does Facebook know about you? https://t.co/lG4ffeCG09
4,0.6114,Tue Mar 27 15:40:40 +0000 2018,0.0,0.75,0.25,BBC,RT @BBCTwo: Happy #WorldTheatreDay! *leaves this here and runs away* @SaraPascoe 🎭😂 https://t.co/3XlEb5gr15
5,0.0,Tue Mar 27 15:38:26 +0000 2018,0.0,1.0,0.0,BBC,"RT @BBCScotland: Meet the master of the radiator harp

@DaftLimmy returns to BBC Scotland on Thursday 5 April. https://t.co/G7mjFEJx6k"
6,-0.3064,Tue Mar 27 15:36:22 +0000 2018,0.134,0.866,0.0,BBC,RT @bbcthree: 12-year-old Keilan has very severe curvature of the spine. He needs surgery ASAP but the 5 hour operation could leave him par…
7,0.0,Tue Mar 27 15:33:24 +0000 2018,0.0,1.0,0.0,BBC,"RT @bbccomedy: Cathy, master of shade. #Mum https://t.co/VjC2ttkaNF"
8,0.0,Tue Mar 27 15:26:23 +0000 2018,0.0,1.0,0.0,BBC,"RT @BBCR1: (•_•)
&lt;)   )╯who
 /    \ 

  (•_•)
 \(   (&gt; bit
  /    \

 (•_•)
&lt;)   )╯Beyoncé? 
 /    \ 

https://t.co/7hQd9mcKUY"
9,-0.5994,Tue Mar 27 14:30:37 +0000 2018,0.14,0.86,0.0,BBC,"RT @BBCWorld: It's 50 years since the death of Yuri Gagarin, the Russian cosmonaut who was the first man to travel into space 👨‍🚀 https://t…"
10,0.0,Tue Mar 27 13:33:01 +0000 2018,0.0,1.0,0.0,BBC,❤️ The first polar bear cub to be born in the UK for 25 years has been filmed adapting to its surroundings. https://t.co/EsxbH18cN5
11,0.0,Tue Mar 27 12:00:08 +0000 2018,0.0,1.0,0.0,BBC,The ancient Greeks thought a life of ‘constant leisure’ was the highest life you could live. https://t.co/sascCq8iks
12,0.0,Tue Mar 27 11:05:06 +0000 2018,0.0,1.0,0.0,BBC,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
👉 https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI"
13,0.25,Tue Mar 27 11:00:06 +0000 2018,0.0,0.875,0.125,BBC,"🎭 @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
👉… https://t.co/pTLXfve0ds"
14,0.0,Tue Mar 27 09:52:08 +0000 2018,0.0,1.0,0.0,BBC,"🚀🌎 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

🚨 SPOILER: it's not.  https://t.co/f5oNRItwyq"
15,0.0,Tue Mar 27 09:40:22 +0000 2018,0.0,1.0,0.0,BBC,"RT @BBCTwo: Now we've got our country back... what actually is it? 🤔

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…"
16,0.4019,Tue Mar 27 09:39:23 +0000 2018,0.0,0.876,0.124,BBC,RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi
17,0.0,Tue Mar 27 09:38:59 +0000 2018,0.0,1.0,0.0,BBC,"RT @BBCR1: We can't get enough of @george_ezra's Live Lounge 😍

Watch him perform 'Paradise' and cover 'These Days' right here 👉https://t.c…"
18,0.5994,Tue Mar 27 09:36:48 +0000 2018,0.0,0.843,0.157,BBC,"RT @bbcgetinspired: Check out @JesseLingard and some of his @PremierLeague mates showing us their super moves. 🕺🏻 

Show us yours with #sup…"
19,0.0,Tue Mar 27 08:00:04 +0000 2018,0.0,1.0,0.0,BBC,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v"
20,0.0,Tue Mar 27 07:30:04 +0000 2018,0.0,1.0,0.0,BBC,"About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn"
21,-0.4588,Tue Mar 27 07:00:08 +0000 2018,0.124,0.827,0.049,BBC,"The number of children living in relative poverty in the UK has risen to 4.1m. 

This is the story of Tyler, one of… https://t.co/xFtEAjBTXC"
22,-0.6249,Mon Mar 26 19:03:02 +0000 2018,0.194,0.806,0.0,BBC,"Filmed in Nottingham during the worst winter for the NHS on record, groundbreaking series #Hospital returns tonight… https://t.co/PVSIcvCGc9"
23,0.7783,Mon Mar 26 18:24:04 +0000 2018,0.0,0.688,0.312,BBC,"Tonight, George Alagiah explores the fascinating history of Queen Elizabeth II and her beloved Commonwealth. 

The… https://t.co/xXer4FRyTq"
24,0.0,Mon Mar 26 17:30:04 +0000 2018,0.0,1.0,0.0,BBC,🐶😂 It was a Dachsh(und) to the finish line. https://t.co/7VvkU5GfUg
25,0.5859,Mon Mar 26 16:25:02 +0000 2018,0.0,0.787,0.213,BBC,"✈️ Joy and Mary flew WW2 planes before any navigation system was installed.
#RAFat100 https://t.co/yxNMblfTEf"
26,-0.3818,Mon Mar 26 15:45:04 +0000 2018,0.161,0.744,0.095,BBC,"Tom Cruise stars in a remake of the 1953 adaptation of HG Wells’s classic novel. 🍿

War of the Worlds | @BBCiPlayer… https://t.co/h19JvTlFSA"
27,0.0,Mon Mar 26 15:11:57 +0000 2018,0.0,1.0,0.0,BBC,"In her role as head of the Commonwealth, the Queen embarked on her first tour of the nations in 1953.

But by 1970… https://t.co/Av61bahNZF"
28,0.0,Mon Mar 26 12:58:02 +0000 2018,0.0,1.0,0.0,BBC,"Never let a squirrel nibble your nobble... 🎈🐿😱
https://t.co/cHm9m6At3m"
29,0.4404,Mon Mar 26 11:48:03 +0000 2018,0.0,0.828,0.172,BBC,Apple wants to introduce new emojis to better represent people with disabilities. ❤️️ https://t.co/CcJfojmtTa https://t.co/ZRdEhVPMEm
30,-0.5106,Mon Mar 26 11:00:05 +0000 2018,0.163,0.837,0.0,BBC,"A crack that opened up in Kenya’s Rift Valley, damaging a section of the Narok-Nairobi highway, is still growing... https://t.co/T5YocDauYj"
31,-0.128,Mon Mar 26 10:00:07 +0000 2018,0.07,0.93,0.0,BBC,"From hot cross bun gin to Creme Egg Yorkshire pudding, this year’s Easter treats are bigger, weirder and more decad… https://t.co/HvDJmgcB5q"
32,0.4588,Mon Mar 26 09:35:06 +0000 2018,0.0,0.864,0.136,BBC,RT @bbcpress: Sue Perkins will return to host the 2018 #BAFTA TV awards on Sunday 13 May on @BBCOne. https://t.co/pieSWNAGbH
33,0.3182,Mon Mar 26 09:33:01 +0000 2018,0.0,0.753,0.247,BBC,"😂 @BillBailey is NOT a fan of taramasalata. #Room101 

https://t.co/soAAz27c0C"
34,0.0,Mon Mar 26 09:04:01 +0000 2018,0.0,1.0,0.0,BBC,"The kiwi bird's egg is so large, it takes almost ten days to lay! 🐦🥚😳  #DavidAttenboroughsNaturalCuriosities
https://t.co/AkZqK9vzZZ"
35,0.5819,Mon Mar 26 08:29:04 +0000 2018,0.0,0.818,0.182,BBC,"🤔Why do so many celebrities decide to enter politics?

Some have done so more successfully than others...… https://t.co/MkEDpSeLMJ"
36,0.2263,Mon Mar 26 07:30:10 +0000 2018,0.09,0.749,0.161,BBC,"Wishing you could get out of bed just that little bit earlier? 😴

If you need some motivation to set that alarm, he… https://t.co/zsisa2oA4s"
37,0.128,Sun Mar 25 19:44:01 +0000 2018,0.077,0.821,0.101,BBC,"Could this be an answer to global water shortages? 🏜💧 This machine creates water out of thin air. 

https://t.co/caz4nXMJg5"
