,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
0,0.3818,Tue Mar 27 21:00:01 +0000 2018,0.108,0.68,0.212,CBS,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu
1,0.296,Tue Mar 27 17:00:00 +0000 2018,0.0,0.901,0.099,CBS,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj
2,0.508,Mon Mar 26 22:14:25 +0000 2018,0.0,0.88,0.12,CBS,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…"
3,0.0,Mon Mar 26 20:42:48 +0000 2018,0.0,1.0,0.0,CBS,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…"
4,0.7959,Mon Mar 26 16:59:19 +0000 2018,0.0,0.786,0.214,CBS,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…
5,0.807,Mon Mar 26 16:05:18 +0000 2018,0.0,0.622,0.378,CBS,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj"
6,0.0,Sun Mar 25 23:57:34 +0000 2018,0.0,1.0,0.0,CBS,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs
7,0.5319,Sun Mar 25 17:15:25 +0000 2018,0.062,0.78,0.157,CBS,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR
8,0.5399,Sat Mar 24 22:46:53 +0000 2018,0.0,0.801,0.199,CBS,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P
9,-0.34,Sat Mar 24 22:46:43 +0000 2018,0.185,0.7,0.115,CBS,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest
10,0.7003,Sat Mar 24 22:25:03 +0000 2018,0.0,0.791,0.209,CBS,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…"
11,0.0,Sat Mar 24 22:21:37 +0000 2018,0.0,1.0,0.0,CBS,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜
12,0.0,Sat Mar 24 22:21:34 +0000 2018,0.0,1.0,0.0,CBS,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…"
13,0.7184,Sat Mar 24 22:21:26 +0000 2018,0.0,0.667,0.333,CBS,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest"
14,0.9451,Sat Mar 24 22:21:23 +0000 2018,0.0,0.58,0.42,CBS,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…
15,0.0,Sat Mar 24 20:00:02 +0000 2018,0.0,1.0,0.0,CBS,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x"
16,0.6996,Fri Mar 23 22:33:52 +0000 2018,0.0,0.806,0.194,CBS,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW
17,0.4939,Fri Mar 23 22:33:04 +0000 2018,0.0,0.686,0.314,CBS,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU
18,0.8997,Fri Mar 23 22:32:48 +0000 2018,0.0,0.645,0.355,CBS,"RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…"
19,0.0,Thu Mar 22 22:10:29 +0000 2018,0.0,1.0,0.0,CBS,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC
