,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
0,-0.3182,Tue Mar 27 23:18:02 +0000 2018,0.119,0.881,0.0,CNN,"""The widespread prevalence of endometriosis — and the lack of any long-term treatment options — is nothing short of… https://t.co/qygfw6aVFD"
1,0.5106,Tue Mar 27 23:13:59 +0000 2018,0.0,0.864,0.136,CNN,"RT @CNNSitRoom: An official with deep knowledge of North Korea told CNN there was a ""strong possibility"" that North Korean leader Kim Jong…"
2,0.0,Tue Mar 27 23:13:05 +0000 2018,0.0,1.0,0.0,CNN,Uber's self-driving permit in California goes until March 31 -- and the company said it will let the permit expire… https://t.co/sJWdSR2uTu
3,-0.296,Tue Mar 27 23:12:00 +0000 2018,0.121,0.879,0.0,CNN,"RT @CNNOpinion: Learn from the Holocaust and stop the massacre in Syria, write @EvaMozesKor and @MhdAGhanem https://t.co/urdH6TeosD"
4,0.0,Tue Mar 27 23:08:06 +0000 2018,0.0,1.0,0.0,CNN,"The CEO of Waymo, the driverless car division of Google parent company Alphabet, said his company's driverless cars… https://t.co/BSqPEppylZ"
5,-0.296,Tue Mar 27 23:03:03 +0000 2018,0.167,0.833,0.0,CNN,Some Aetna customers could see lower drug prices next year https://t.co/lYDhNfdyxU https://t.co/WFnbBn5HhA
6,-0.4215,Tue Mar 27 22:58:05 +0000 2018,0.194,0.733,0.073,CNN,"Don't be an April fool and miss out on what's streaming on Netflix, Hulu and Amazon Prime next month https://t.co/sf2jB37GxA"
7,-0.5267,Tue Mar 27 22:53:07 +0000 2018,0.152,0.848,0.0,CNN,An appeals court said Google violated copyright laws when it used Oracle's open-source Java software to build the A… https://t.co/MEw6qBehlk
8,0.0,Tue Mar 27 22:48:07 +0000 2018,0.0,1.0,0.0,CNN,Researchers have detailed the structure and distribution of spaces in your body that they say represent a newfound… https://t.co/QAaCP21k8T
9,0.0,Tue Mar 27 22:43:00 +0000 2018,0.0,1.0,0.0,CNN,The NFL and Nike just announced that they would be extending their partnership for another eight years https://t.co/bAROWhKLHg
10,-0.4767,Tue Mar 27 22:38:02 +0000 2018,0.154,0.846,0.0,CNN,"Six days after a ransomware attack shut down the City of Atlanta's online systems, officials are telling employees… https://t.co/okyUlZFUM5"
11,-0.296,Tue Mar 27 22:33:06 +0000 2018,0.128,0.872,0.0,CNN,The census has always been a weapon of political power | Analysis by CNN's Gregory Krieg https://t.co/2eHizX8TE7 https://t.co/Cr6gCfy237
12,0.4019,Tue Mar 27 22:32:19 +0000 2018,0.0,0.748,0.252,CNN,"Steven Spielberg nixes Carl's Jr.'s ""SpielBurgers"" dreams https://t.co/iz5DyMTxUD https://t.co/K5Vu9d4yHm"
13,0.0,Tue Mar 27 22:28:04 +0000 2018,0.0,1.0,0.0,CNN,A former professional clown is running for Congress in South Carolina https://t.co/GMfVUgWMob https://t.co/pSpDLGTqgX
14,-0.7461,Tue Mar 27 22:28:03 +0000 2018,0.284,0.716,0.0,CNN,There's not a 'snowflake's chance in hell' of repealing the Second Amendment | Analysis by CNN's Z. Byron Wolf… https://t.co/yzVur4ZfQ0
15,0.0,Tue Mar 27 22:23:04 +0000 2018,0.0,1.0,0.0,CNN,White House press secretary Sarah Sanders defended President Trump's silence on allegations leveled against him by… https://t.co/oycTPyBTn1
16,0.7003,Tue Mar 27 22:18:03 +0000 2018,0.0,0.702,0.298,CNN,Secretary of Defense James Mattis on President Trump’s newly named national security adviser John Bolton: “I hope t… https://t.co/WHpD4xHuTI
17,0.5106,Tue Mar 27 22:13:03 +0000 2018,0.0,0.809,0.191,CNN,Warren Buffett swooped in to rescue General Electric once. Could he do it again? https://t.co/0aW43nOaAa
18,0.0,Tue Mar 27 22:08:05 +0000 2018,0.0,1.0,0.0,CNN,Why the Trump administration's plan to put a citizenship question back on the US census is a big deal… https://t.co/TD01oqVqva
19,-0.34,Tue Mar 27 22:02:24 +0000 2018,0.107,0.893,0.0,CNN,The US general in charge of the nation's nuclear arsenal has issued a stark warning that Russia and China are aggre… https://t.co/wFSuV1etYq
20,0.046,Tue Mar 27 21:50:39 +0000 2018,0.129,0.735,0.137,CNN,Michael Phelps calls on the US Olympic Committee to do more to help athletes struggling with depression… https://t.co/Y9pZFED1vl
21,0.4019,Tue Mar 27 21:49:31 +0000 2018,0.0,0.876,0.124,CNN,RT @CNNSitRoom: Most Americans say US President Trump isn't doing enough to cooperate with special counsel Robert Mueller's investigation i…
22,0.0,Tue Mar 27 21:48:57 +0000 2018,0.0,1.0,0.0,CNN,"Nearly two thirds of Americans approve of President Trump's plan to meet with North Korean leader Kim Jong Un, acco… https://t.co/6I0Ao6SyVw"
23,0.128,Tue Mar 27 21:45:30 +0000 2018,0.111,0.754,0.136,CNN,"New CNN/SSRS poll: Should Robert Mueller be able to investigate Trump’s finances?
- Yes 67%
- No 28%… https://t.co/Q8waAySeZj"
24,0.0258,Tue Mar 27 21:40:58 +0000 2018,0.0,0.922,0.078,CNN,"Hormone replacement may prevent belly fat in postmenopausal women, according to a new study https://t.co/fyYbOSWWfc"
25,0.4019,Tue Mar 27 21:34:45 +0000 2018,0.0,0.856,0.144,CNN,Most Americans say President Trump isn't doing enough to cooperate with special counsel Robert Mueller's investigat… https://t.co/IzArFrCj0M
26,0.0,Tue Mar 27 21:29:42 +0000 2018,0.0,1.0,0.0,CNN,JUST IN: Nearly two thirds of Americans approve of President Trump's plan to meet with North Korean leader Kim Jong… https://t.co/E8p8cpdLWD
27,-0.1531,Tue Mar 27 21:25:20 +0000 2018,0.138,0.748,0.114,CNN,"""Never mind that an undereducated population is bad for democracy -- it's good for the GOP, and so Republicans are… https://t.co/eGgtXnaEP5"
28,0.0,Tue Mar 27 21:21:21 +0000 2018,0.0,1.0,0.0,CNN,Stormy Daniels' lawyer: Donald Trump isn’t speaking out about the affair allegations because “my client is telling… https://t.co/UHS6v2Mc2c
29,0.0,Tue Mar 27 21:19:05 +0000 2018,0.0,1.0,0.0,CNN,The White House defends President Trump's silence on allegations leveled against him by Stormy Daniels… https://t.co/GGtqrtq5lh
30,0.0,Tue Mar 27 21:17:05 +0000 2018,0.0,1.0,0.0,CNN,"The NRA insisted it did not use foreign funds for election-related purposes, even as the group acknowledged it acce… https://t.co/wFcSX2AffF"
31,-0.34,Tue Mar 27 21:12:05 +0000 2018,0.146,0.854,0.0,CNN,Why dismissing Stormy Daniels' story would be a mistake | By Carol Costello via @CNNOpinion https://t.co/Rw77AFywo2 https://t.co/sPuNqi1TOF
32,-0.0258,Tue Mar 27 21:08:05 +0000 2018,0.076,0.853,0.072,CNN,"RT @TheLeadCNN: Rep. Lieu: I support US move to expel Russian diplomats, but we have a long way to go for the Trump Administration to “[sto…"
33,-0.5423,Tue Mar 27 21:05:09 +0000 2018,0.171,0.829,0.0,CNN,"Tesla stock slid 8% following a string of bad news, including the NTSB's announcement that it's investigating a fat… https://t.co/8v3hjShQv4"
34,-0.4404,Tue Mar 27 20:56:02 +0000 2018,0.146,0.854,0.0,CNN,"Facebook's stock has plunged 18% amid its data scandal, wiping out nearly $80 billion in market value… https://t.co/Y7l6pDeZwJ"
35,0.3773,Tue Mar 27 20:51:43 +0000 2018,0.044,0.856,0.1,CNN,"RT @TheLeadCNN: Rep. Lieu: People need to have faith that the census data is accurate, “and if you’re an immigrant, you might not want to t…"
36,0.0,Tue Mar 27 20:51:04 +0000 2018,0.0,1.0,0.0,CNN,"Israeli Prime Minister Benjamin Netanyahu hospitalized for a high fever and cough, his office says… https://t.co/nobdnlqqEi"
37,0.0,Tue Mar 27 20:46:05 +0000 2018,0.0,1.0,0.0,CNN,"Nvidia is temporarily pausing its self-driving car tests on public roads a week after a car from Uber, which incorp… https://t.co/VzWph7rVGz"
38,0.2755,Tue Mar 27 20:41:37 +0000 2018,0.0,0.869,0.131,CNN,"Secretary Zinke, we can't afford to ignore diversity | By Andre Perry via @CNNOpinion https://t.co/Z0mq8ZggbN https://t.co/npCcdgkRrl"
39,0.0,Tue Mar 27 20:37:42 +0000 2018,0.0,1.0,0.0,CNN,US Ambassador to the UN Nikki Haley on Russia: Their “blatantly false narratives will not keep us from telling the… https://t.co/FMnyi5lmL6
40,0.5667,Tue Mar 27 20:30:39 +0000 2018,0.0,0.845,0.155,CNN,"The Dow drops about 345 points, completely reversing a 244-point gain from early in the day, as tech stocks get cru… https://t.co/dwEBWWjmkA"
41,0.5574,Tue Mar 27 20:21:37 +0000 2018,0.0,0.714,0.286,CNN,The US Supreme Court prepares for a right turn https://t.co/5XsbK13Nhx https://t.co/RS21gJQV4X
42,-0.2732,Tue Mar 27 20:13:57 +0000 2018,0.11,0.89,0.0,CNN,Apple co-founder Steve Jobs warned about privacy issues in tech at a conference in 2010. Facebook's Mark Zuckerberg… https://t.co/cMxBuIZItP
43,0.1027,Tue Mar 27 20:11:06 +0000 2018,0.104,0.769,0.126,CNN,"A group of fair housing organizations have filed a lawsuit against Facebook, alleging that its advertising platform… https://t.co/3MfFvBLey6"
44,0.0516,Tue Mar 27 20:06:04 +0000 2018,0.127,0.735,0.137,CNN,Washington apples and cherries are caught in the trade fight between the United States and China… https://t.co/9jyta5qzmx
45,0.0,Tue Mar 27 20:03:47 +0000 2018,0.0,1.0,0.0,CNN,"RT @CNNMoney: Dow drops 345 points, reversing an earlier rally. Nasdaq plunges 2.9% on tech sell-off. Nvidia, Facebook tumble. https://t.co…"
46,-0.296,Tue Mar 27 19:58:07 +0000 2018,0.128,0.872,0.0,CNN,"Not enough was done to stop Russian trolls, former CIA Director Michael Hayden says https://t.co/IWNEqtVw7A https://t.co/PF0CiO23j4"
