,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
0,-0.4019,Tue Mar 27 23:17:02 +0000 2018,0.144,0.856,0.0,nytimes,"H&amp;M is a ""fast fashion"" giant. But it has a big problem: A $4.3 billion pile of unsold clothes. https://t.co/xkjuVRmCJT"
1,0.7003,Tue Mar 27 23:02:03 +0000 2018,0.0,0.766,0.234,nytimes,"It's pretty clear how birds, even dinosaurs, got their wings. But how insects got theirs has been a mystery -- unti… https://t.co/izgS59NtxG"
2,0.0,Tue Mar 27 22:47:04 +0000 2018,0.0,1.0,0.0,nytimes,"Evening Briefing: Here's what you need to know at the end of the day
https://t.co/v54i6wg4pj"
3,-0.7096,Tue Mar 27 22:32:02 +0000 2018,0.228,0.772,0.0,nytimes,RT @jdelreal: About two dozen people are gathered here at the Sacramento County District Attorney’s Office to protest the death of Stephon…
4,-0.5994,Tue Mar 27 22:17:02 +0000 2018,0.224,0.776,0.0,nytimes,"Apple is introducing a new iPad, trying to become a force again in classrooms, a battle fought against Google and M… https://t.co/AAPH4kWu1N"
5,0.0772,Tue Mar 27 22:01:06 +0000 2018,0.0,0.939,0.061,nytimes,The 2020 census is a snapshot of America that will affect the number of congressional seats and how state and feder… https://t.co/HcGCEs7ftP
6,-0.6249,Tue Mar 27 21:47:02 +0000 2018,0.221,0.779,0.0,nytimes,"RT @cliffordlevy: Some Republicans fear the midterms may come down to one thing: Trump’s conduct. (Including Stormy.)
""He blocks everything…"
7,-0.8225,Tue Mar 27 21:32:51 +0000 2018,0.364,0.636,0.0,nytimes,A fatal helicopter crash in New York’s East River may have been caused by a passenger’s harness accidentally trippi… https://t.co/ilkS6nx9rz
8,-0.886,Tue Mar 27 21:16:03 +0000 2018,0.309,0.691,0.0,nytimes,"He was wrongfully convicted of rape and murder and spent 23 years behind bars. This week, he returned to work as a… https://t.co/zIGxzZlm4E"
9,-0.0772,Tue Mar 27 21:00:23 +0000 2018,0.147,0.734,0.119,nytimes,Here are 11 movies you won’t want to miss https://t.co/DeWdoxFniP
10,0.0772,Tue Mar 27 20:45:08 +0000 2018,0.0,0.933,0.067,nytimes,"If President Trump actually meets Kim Jong-un, his challenge will be much larger than merely persuading North Korea… https://t.co/7JveTkU9oD"
11,-0.2732,Tue Mar 27 20:30:04 +0000 2018,0.11,0.89,0.0,nytimes,"“The Americans” has always been as much about marriage and partnership as about geopolitics, our critic writes https://t.co/UXPe1hO5R1"
12,0.0,Tue Mar 27 20:22:03 +0000 2018,0.0,1.0,0.0,nytimes,"Roseanne believes President Trump doesn't oppose same-sex marriage. ""He has said it several times, you know, that h… https://t.co/E7ThXtFRAn"
13,0.5859,Tue Mar 27 20:15:06 +0000 2018,0.0,0.833,0.167,nytimes,"If it is successful, the Trump administration could come closer than any Republican White House has to achieving a… https://t.co/edKynbq7K7"
14,0.0,Tue Mar 27 20:00:12 +0000 2018,0.0,1.0,0.0,nytimes,These almond cookies need just 4 ingredients https://t.co/gY9TpfJdjd
15,0.0,Tue Mar 27 19:54:49 +0000 2018,0.0,1.0,0.0,nytimes,"In Opinion,
Isabelle Robinson, a senior at Marjory Stoneman Douglas High School, writes, ""The idea that we are to b… https://t.co/uxs0El114r"
16,0.8176,Tue Mar 27 19:45:05 +0000 2018,0.0,0.694,0.306,nytimes,"""A strong case could be made for [Gerald] Murnane, who recently turned 79, as the greatest living English-language… https://t.co/7ESwrnkrfv"
17,0.1779,Tue Mar 27 19:30:04 +0000 2018,0.0,0.922,0.078,nytimes,"Two graphic designers founded Turbo without fully knowing what it would be. Now, the studio is part of a growing de… https://t.co/xmZNfQqdZX"
18,-0.5106,Tue Mar 27 19:21:01 +0000 2018,0.148,0.852,0.0,nytimes,The attorney general is responding to public outcry over a police shooting in which an unarmed black man was killed… https://t.co/64nSNabytF
19,0.3612,Tue Mar 27 19:15:07 +0000 2018,0.0,0.828,0.172,nytimes,"The photos are surreal, like a Martian ski slope or a toasted marshmallow sky https://t.co/VFHIgBVETa"
20,-0.4588,Tue Mar 27 19:06:03 +0000 2018,0.143,0.857,0.0,nytimes,"By branching into public forums, Breitbart is taking a cue from one of its perennial foes: the mainstream media https://t.co/8wS7IUFeQU"
21,0.0,Tue Mar 27 19:00:16 +0000 2018,0.0,1.0,0.0,nytimes,"Check out our new animations about race and mobility, or make one of your own https://t.co/FNt0PtuI8l"
22,-0.836,Tue Mar 27 18:51:02 +0000 2018,0.395,0.535,0.07,nytimes,Horrific accounts of children struggling to escape the blazing shopping mall distracted public attention from a dip… https://t.co/0ngky3p6Km
23,0.3612,Tue Mar 27 18:45:05 +0000 2018,0.098,0.674,0.228,nytimes,"Fair housing groups filed a lawsuit saying that Facebook continues to discriminate against certain groups, includin… https://t.co/cBbsa2X9BK"
24,0.4588,Tue Mar 27 18:34:16 +0000 2018,0.0,0.818,0.182,nytimes,"RT @nytimesworld: “Spain is creating a situation where Europe’s judges rather than its politicians are being asked to solve Catalonia,” one…"
25,-0.0258,Tue Mar 27 18:30:15 +0000 2018,0.108,0.788,0.103,nytimes,"Under pressure, Mark Zuckerberg agreed to testify before Congress over Facebook’s handling of user data, people fam… https://t.co/MvIygDFq9u"
26,-0.7269,Tue Mar 27 18:15:03 +0000 2018,0.274,0.684,0.042,nytimes,Critics say the rule could throw patients who lost access to the drugs into withdrawal or even provoke them to buy… https://t.co/06RkHiijim
27,-0.5994,Tue Mar 27 18:00:09 +0000 2018,0.163,0.837,0.0,nytimes,Tempest in an egg spoon: How Alice Waters's fancy utensil set off a culinary culture war that touches on class and… https://t.co/g0XvIB6ABy
28,0.0,Tue Mar 27 17:45:10 +0000 2018,0.0,1.0,0.0,nytimes,"Lieutenant Davidson left behind a wife and four young children, and came from a family of firefighters, with his fa… https://t.co/qoREudBKjp"
29,0.8625,Tue Mar 27 17:30:09 +0000 2018,0.0,0.593,0.407,nytimes,"“It’s like a beauty pageant. The fish cannot be fat. It must look strong and have personality."" https://t.co/nSKiuU0x9i"
30,0.0,Tue Mar 27 17:25:08 +0000 2018,0.0,1.0,0.0,nytimes,"RT @amyfiscus: ""Bulletproof, Slow and Full of Wine” is also the title of my autobiography https://t.co/JthIHU4sY5"
31,0.2732,Tue Mar 27 17:15:07 +0000 2018,0.0,0.704,0.296,nytimes,Roseanne has become a Trump supporter https://t.co/bs6NXUo6mr
32,-0.3612,Tue Mar 27 17:07:50 +0000 2018,0.22,0.656,0.124,nytimes,"Tanzina Vega is the new host of “The Takeaway,” succeeding John Hockenberry, who was accused of sexual harassment a… https://t.co/zrO7bNE7I5"
33,-0.8126,Tue Mar 27 17:00:12 +0000 2018,0.344,0.656,0.0,nytimes,"Why are the Parkland students being attacked? “Together we kind of form an unstoppable force that terrifies them."" https://t.co/wTnnc2IOLq"
34,0.0,Tue Mar 27 16:56:20 +0000 2018,0.0,1.0,0.0,nytimes,"RT @KevinQ: New today in Upshot-land, income mobility ladders for girls, Asian-Americans and other groups. Or make your own – there are tho…"
35,0.0772,Tue Mar 27 16:45:08 +0000 2018,0.159,0.707,0.134,nytimes,"""I got back to something I’d been missing over a month of solo travel: the joy of getting lost with someone whose c… https://t.co/uTaaAFEJSa"
36,-0.6597,Tue Mar 27 16:30:20 +0000 2018,0.321,0.56,0.119,nytimes,"""Being crazy isn't enough."" A Manhattan nanny charged with killing two children in her care is pursuing an insanity… https://t.co/ro78pJw85B"
37,-0.3217,Tue Mar 27 16:15:12 +0000 2018,0.142,0.77,0.088,nytimes,"Two white police officers in Baton Rouge, La., will not be prosecuted in the fatal 2016 shooting of Alton Sterling,… https://t.co/kRzukrAMDy"
38,0.477,Tue Mar 27 16:00:11 +0000 2018,0.086,0.706,0.208,nytimes,"The former dean, William D. Strampel, was accused not only of failing to protect women and girls from Larry Nassar,… https://t.co/saN2IbTMhc"
39,0.7579,Tue Mar 27 15:54:29 +0000 2018,0.0,0.755,0.245,nytimes,RT @nytimesbusiness: “Trump has been a godsend for China.” The potential cost of moving away from institutions and alliances in favor of a…
40,0.4939,Tue Mar 27 15:45:04 +0000 2018,0.0,0.856,0.144,nytimes,"The Rev. Samuel Rodriguez thinks of himself as a modern-day Joseph in Pharaoh’s court, placed there to save his peo… https://t.co/ajpHlmGwE4"
41,0.25,Tue Mar 27 15:31:54 +0000 2018,0.0,0.92,0.08,nytimes,"RT @patrickhealynyt: Roseanne Barr &amp; I got into it when she claimed Trump favors same-sex marriage: ""Yes, he does. He has said it several t…"
42,-0.2023,Tue Mar 27 15:30:10 +0000 2018,0.091,0.909,0.0,nytimes,"Federal authorities charged Keith Raniere, the head of the Albany-area group Nxivm, with forcing women to have sex… https://t.co/L5xGmbNUfG"
43,0.3182,Tue Mar 27 15:15:10 +0000 2018,0.0,0.881,0.119,nytimes,"In Opinion,
Op-Ed columnist @PaulKrugman writes, ""The simple truth is that ever since Reagan, Republicans have basi… https://t.co/2xROYOSesk"
44,-0.4588,Tue Mar 27 15:00:29 +0000 2018,0.136,0.864,0.0,nytimes,RT @nytopinion: Stormy Daniels is not the first person who claims to have been threatened after crossing Donald Trump https://t.co/jq4XA1hs…
45,0.7783,Tue Mar 27 14:45:03 +0000 2018,0.0,0.536,0.464,nytimes,"RT @nytimesarts: Chris Evans makes a terrific Broadway debut in ""Lobby Hero"" https://t.co/RSHFjyp02o"
46,0.5799,Tue Mar 27 14:30:10 +0000 2018,0.137,0.595,0.268,nytimes,"On U.S. involvement in the Syrian war, one operative said: “Russia is more honorable and trustworthy than the Unite… https://t.co/j4nPJbWm4Q"
47,0.0,Tue Mar 27 14:21:31 +0000 2018,0.0,1.0,0.0,nytimes,"RT @nytimesbusiness: Waymo says it will buy up to 20,000 electric cars from Jaguar Land Rover as it strives to put a ride service into oper…"
48,-0.1695,Tue Mar 27 14:15:05 +0000 2018,0.1,0.9,0.0,nytimes,"Stephen Colbert and other late-night hosts were not surprised by Stephanie Clifford's ""60 Minutes"" interview https://t.co/i7tEE6rroE"
49,0.3182,Tue Mar 27 13:59:04 +0000 2018,0.0,0.881,0.119,nytimes,"""I'm sure there are other Cambridge Analyticas out there,"" Senator John Kennedy said. ""Facebook isn't just a compan… https://t.co/q02W3HcwDe"
50,0.0,Tue Mar 27 13:44:04 +0000 2018,0.0,1.0,0.0,nytimes,RT @nytopinion: John Paul Stevens: Repealing the Second Amendment would move Saturday’s marchers closer to their objective than any other p…
51,0.4019,Tue Mar 27 13:30:12 +0000 2018,0.0,0.881,0.119,nytimes,Polls and recent elections show that Trump has galvanized liberal and moderate voters to oppose his party. Yet at t… https://t.co/hj0feZkpk5
52,0.2617,Tue Mar 27 13:15:05 +0000 2018,0.0,0.915,0.085,nytimes,"RT @nytgraphics: All 435 House seats are up for election this November, but just 48 are considered competitive: 41 held by Republicans, 7 b…"
53,0.0,Tue Mar 27 13:00:31 +0000 2018,0.0,1.0,0.0,nytimes,Morning Briefing: Here's what you need to know to start your day https://t.co/1cL3jRvE6f https://t.co/DZGs6ucJlW
54,-0.9081,Tue Mar 27 12:45:07 +0000 2018,0.432,0.568,0.0,nytimes,The Maryland school shooter who fatally shot his ex-girlfriend and injured another student last week killed himself… https://t.co/n7N1XpSNsB
55,0.0,Tue Mar 27 12:31:05 +0000 2018,0.0,1.0,0.0,nytimes,Linda Brown came to symbolize one of the most transformative court proceedings in American history https://t.co/vUcEP99A3g
56,0.4588,Tue Mar 27 12:14:03 +0000 2018,0.0,0.812,0.188,nytimes,"A housemate of the Austin bomber has become a ""person of interest"" in the investigation https://t.co/thNrBdpcJM"
57,0.0,Tue Mar 27 12:00:10 +0000 2018,0.0,1.0,0.0,nytimes,"Your daily @DealBook Briefing:

• Citigroup became the biggest Wall Street firm thus far to take actions to limit g… https://t.co/trOfabkKIY"
58,0.0,Tue Mar 27 11:44:04 +0000 2018,0.0,1.0,0.0,nytimes,"Lobster, wine and ""lady conductors"": What we know about North Korea's mystery train https://t.co/PCuXFczwwb"
59,-0.3818,Tue Mar 27 11:30:01 +0000 2018,0.12,0.88,0.0,nytimes,"""From a European perspective, the shock comes from the fact that the U.S. is now seen as a destabilizing force, lik… https://t.co/IMDcz7Nj2v"
60,0.7717,Tue Mar 27 11:16:02 +0000 2018,0.0,0.712,0.288,nytimes,"Eight years ago, the United States and Russia agreed to a spy swap that sent a Russian double agent to safety in Br… https://t.co/5Dv7DOef5y"
61,-0.4588,Tue Mar 27 11:00:12 +0000 2018,0.158,0.842,0.0,nytimes,"The former dean of Michigan State University’s medical school, who supervised the disgraced physician Lawrence Nass… https://t.co/zvJMTgrnB7"
62,-0.2023,Tue Mar 27 10:45:04 +0000 2018,0.083,0.917,0.0,nytimes,"Within 30 seconds of arriving, Deputy Brewer had exited his car, confronted a man in the street whose pants were ar… https://t.co/LzNamOCMQf"
63,0.34,Tue Mar 27 10:30:04 +0000 2018,0.0,0.876,0.124,nytimes,"The 2020 census will ask respondents whether they are U.S. citizens, the Commerce Department announced, agreeing to… https://t.co/zz1aqLKqAT"
64,0.0,Tue Mar 27 10:16:05 +0000 2018,0.0,1.0,0.0,nytimes,A video that appeared to show the arrival in Beijing of an old-style green train fueled speculation that a high-lev… https://t.co/nB2RJVVDYe
65,0.0,Tue Mar 27 10:00:18 +0000 2018,0.0,1.0,0.0,nytimes,Morning Briefing: Here's what you need to know to start your day https://t.co/C4v9hpi3Ye https://t.co/QLK2dlg5qA
66,-0.5267,Tue Mar 27 09:55:11 +0000 2018,0.175,0.825,0.0,nytimes,"Others have come at President Trump with indignation, righteousness and appeals to decency. Stormy Daniels swatted… https://t.co/iq3gZcZzNd"
67,0.0,Tue Mar 27 09:30:02 +0000 2018,0.0,1.0,0.0,nytimes,"""She called me at 4:11 p.m. the last time and told me that everything was in flames, and that the doors were blocke… https://t.co/T2XmtaoKxp"
68,-0.8519,Tue Mar 27 09:16:02 +0000 2018,0.401,0.484,0.114,nytimes,"A woman who survived the Holocaust was murdered in Paris, in what the authorities are calling a hate crime https://t.co/PCfeDQFPrz"
69,-0.4767,Tue Mar 27 08:59:03 +0000 2018,0.134,0.866,0.0,nytimes,"After 61 weeks in the White House, President Trump has found 2 people he won’t attack on Twitter: Stormy Daniels an… https://t.co/5VpaR8vviN"
70,-0.6249,Tue Mar 27 08:46:08 +0000 2018,0.221,0.779,0.0,nytimes,"China's first space station, Tiangong-1, abandoned and out of control, is expected to drop out of orbit around this… https://t.co/IURCPOQDHv"
